time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-07-28,24619.11,22599.92,22960.19,263843.83,6194910601.61,22825.25,direct,
2022-08-04,24244.59,22418.27,22825.25,252959.9,5902670012.72,23959.67,direct,
2022-08-11,25203.38,23185.14,23959.67,290660.15,7037491750.76,23338.03,direct,
2022-08-18,23595.74,20772.5,23338.03,302808.31,6538903579.37,21369.05,direct,
2022-08-25,21856.85,19527.69,21369.05,353846.66,7225919930.94,20050.28,direct,
2022-09-01,20439.1,18559.15,20050.28,273610.58,5368026225.24,19287.52,direct,
2022-09-08,22767.89,19023.78,19287.52,380328.5,7979051697.75,20233.68,direct,
2022-09-15,20333.61,18189.92,20233.68,382446.6,7411555288.68,18468.05,direct,
2022-09-22,20377.45,18366.46,18468.05,519274.65,9957347656.96,19412.67,direct,
2022-09-29,20459.26,18848.01,19412.67,363057.96,7121036535.04,20160.74,direct,
2022-10-06,20449.46,18858.74,20160.74,316528.95,6180347760.57,19154.85,direct,
2022-10-13,19946.24,18229.27,19154.85,345455.13,6651593293.13,19123.89,direct,
2022-10-20,21013.26,18696.2,19123.89,461204.39,9092148754.17,20776.76,direct,
2022-10-27,21064.84,20031.32,20776.76,464714.7,9547084800.79,20150.33,direct,
2022-11-03,21471.49,15546.97,20150.33,739308.83,14175328687.91,15820.02,direct,
2022-11-10,18113.28,15674.81,15820.02,566526.09,9513579389.21,16648.05,direct,
2022-11-17,16975.14,15480.69,16648.05,350856.42,5718555708.32,16590.98,direct,
2022-11-24,17216.6,16000.76,16590.98,302259.15,5005843976.09,17162.35,direct,
2022-12-01,17409.45,16713.28,17162.35,310079.45,5277370472.63,16837.85,direct,
2022-12-08,18344.32,16757.86,16837.85,337960.71,5887177173.01,17801.37,direct,
2022-12-15,17853.72,16350.32,17801.37,407206.41,6892205229.91,16821.13,direct,
2022-12-22,16960.3,16471.35,16821.13,248447.84,4162634285.98,16540.47,direct,
2022-12-29,16972.62,16364.76,16540.47,268962.14,4477583417.12,16846.82,direct,
2023-01-05,17986.45,16687.42,16846.82,311430.73,5347261881.87,17938.0,direct,
2023-01-12,21624.6,17906.4,17938.0,573350.2,11536081681.81,20678.47,direct,
2023-01-19,23801.04,20670.44,20678.47,533511.24,11987807829.66,23066.28,direct,
2023-01-26,23948.42,22577.01,23066.28,380453.5,8809331692.02,23730.52,direct,
2023-02-02,24229.18,22655.5,23730.52,249951.11,5820567795.37,22961.13,direct,
2023-02-09,24338.52,21407.31,22961.13,349891.92,7768363821.47,24332.21,direct,
2023-02-16,25233.22,23368.98,24332.21,433668.19,10593684891.3,24186.92,direct,
2023-02-23,24595.08,22809.19,24186.92,313446.72,7384881261.31,23642.8,direct,
2023-03-02,23794.81,21628.01,23642.8,233943.59,5255000232.15,21704.74,direct,
2023-03-09,26522.41,19599.47,21704.74,593234.83,13266043152.58,24372.11,direct,
2023-03-16,28902.98,24220.45,24372.11,441640.67,12000151831.24,27316.18,direct,
2023-03-23,28807.82,26551.46,27316.18,296675.53,8229454027.35,28355.7,direct,
2023-03-30,29171.13,27292.3,28355.7,253802.25,7166543630.74,28180.06,direct,
2023-04-06,30558.49,27736.36,28180.06,191685.78,5582786490.38,29905.56,direct,
2023-04-13,31020.32,28615.79,29905.56,237536.41,7129582108.43,28821.91,direct,
2023-04-20,30016.54,26998.44,28821.91,265483.43,7466810804.07,28432.89,direct,
2023-04-27,29958.96,27680.56,28432.89,249939.4,7223470225.56,29041.65,direct,
2023-05-04,29853.13,26840.62,29041.65,209609.4,5965532624.02,27628.73,direct,
2023-05-11,27668.19,25833.3,27628.73,177561.42,4782791549.7,27406.21,direct,
2023-05-18,27480.33,26092.06,27406.21,134272.8,3609840666.12,26326.17,direct,
2023-05-25,28450.88,25882.27,26326.17,144168.16,3920471993.2,27220.17,direct,
2023-06-01,27451.16,25380.61,27220.17,171161.5,4554477496.12,26348.91,direct,
2023-06-08,26816.33,24836.48,26348.91,143143.79,3716494405.33,25125.73,direct,
2023-06-15,30780.84,24765.75,25125.73,204271.52,5573138532.24,30000.55,direct,
2023-06-22,31416.26,29611.53,30000.55,165204.21,5024762315.16,30078.9,direct,
2023-06-29,31388.17,29465.7,30078.9,133443.25,4081583833.86,30503.07,direct,
2023-07-06,31521.11,29725.12,30503.07,128224.36,3904892142.55,30385.22,direct,
2023-07-13,31844.94,29538.16,30385.22,140022.96,4275539123.66,29918.6,direct,
2023-07-20,30417.9,28860.94,29918.6,100937.91,2985561673.23,29352.06,direct,
2023-07-27,30029.06,28564.09,29352.06,108466.03,3173948593.63,29163.69,direct,
2023-08-03,30210.36,28672.37,29163.69,97707.3,2867600386.74,29566.47,direct,
2023-08-10,29707.55,28696.21,29566.47,69752.12,2044064233.05,28702.8,direct,
2023-08-17,28752.02,25328.06,28702.8,163983.53,4357201429.37,26429.4,direct,
2023-08-24,28154.08,25759.58,26429.4,114190.2,3051570006.62,27305.41,direct,
2023-08-31,27563.68,25323.44,27305.41,100769.58,2621433920.93,25751.71,direct,
2023-09-07,26545.24,24911.78,25751.71,129585.92,3350502065.62,26227.49,direct,
2023-09-14,27493.85,26136.39,26227.49,130269.39,3496704209.06,27126.4,direct,
2023-09-21,27162.0,25997.17,27126.4,108297.03,2864263295.48,26360.2,direct,
2023-09-28,28585.13,26328.53,26360.2,160060.06,4389511670.01,27789.8,direct,
2023-10-05,28280.04,26531.55,27789.8,137289.83,3778256683.45,26871.21,direct,
2023-10-12,30009.15,26549.78,26871.21,168510.16,4697186443.14,28328.07,direct,
2023-10-19,35183.22,28135.5,28328.07,288415.13,9202801270.09,34503.4,direct,
2023-10-26,35623.76,33406.13,34503.4,171989.84,5907171417.52,35439.76,direct,
2023-11-02,36109.43,34118.29,35439.76,157804.01,5531523063.39,35638.33,direct,
2023-11-09,37990.51,34788.17,35638.33,216588.4,7954917176.98,37884.19,direct,
2023-11-16,37951.14,35512.38,37884.19,197662.78,7278380216.32,37424.2,direct,
2023-11-23,38456.97,36727.3,37424.2,158382.09,5961863430.9,37861.9,direct,
2023-11-30,44639.18,37505.7,37861.9,222943.72,9184509615.52,43771.01,direct,
2023-12-07,44735.52,40180.77,43771.01,212821.45,9050091792.7,42887.55,direct,
2023-12-14,44303.12,40512.69,42887.55,196562.24,8355905822.05,43669.91,direct,
2023-12-21,44417.78,41616.59,43669.91,152564.68,6607871003.96,43469.34,direct,
2023-12-28,45918.98,40214.67,43469.34,265400.4,11488212186.12,42854.08,direct,
2024-01-04,47923.17,42508.08,42854.08,352682.99,15899146808.7,46667.48,direct,
2024-01-11,49054.05,41454.57,46667.48,303237.57,13419662236.01,42739.27,direct,
2024-01-18,42876.35,38512.34,42739.27,251771.37,10229425692.02,40078.62,direct,
2024-01-25,43855.77,39523.94,40078.62,200946.52,8454141651.94,42555.08,direct,
2024-02-01,44402.0,41855.88,42555.08,150625.39,6471803633.11,44339.04,direct,
2024-02-08,52085.66,44333.87,44339.04,259644.99,12550210405.15,51844.19,direct,
2024-02-15,52985.95,50633.49,51844.19,198848.67,10309495210.1,51854.36,direct,
2024-02-22,64086.08,50523.07,51854.36,292796.18,16376449684.65,62507.1,direct,
2024-02-29,69244.55,59268.68,62507.1,452104.48,29032304933.97,66115.57,direct,
2024-03-07,73672.14,65610.94,66115.57,308366.81,21586891714.5,73118.09,direct,
2024-03-14,73802.64,60782.8,73118.09,381439.58,25534570293.72,67857.3,direct,
2024-03-21,71762.06,62321.3,67857.3,233601.09,15764570054.73,69434.46,direct,
2024-03-28,71593.93,64514.87,69434.46,172258.42,11767013155.1,65986.11,direct,
2024-04-04,72750.51,65081.42,65986.11,202725.29,14002366300.88,70628.54,direct,
2024-04-11,71297.81,59682.79,70628.54,290228.3,18899750238.41,61283.74,direct,
2024-04-18,67257.68,59607.49,61283.74,173327.18,11174572244.57,64263.95,direct,
2024-04-25,65279.7,56516.09,64263.95,184550.83,11334670093.55,58277.44,direct,
2024-05-02,65517.33,56936.28,58277.44,157037.94,9725053737.44,61179.81,direct,
2024-05-09,66467.29,60181.24,61179.81,148693.92,9304351995.64,66245.16,direct,
2024-05-16,71964.79,64600.05,66245.16,158083.85,10783232186.77,69123.56,direct,
2024-05-23,70613.89,66370.0,69123.56,109571.12,7488675530.49,67576.81,direct,
2024-05-30,71782.2,66605.09,67576.81,126150.48,8734262796.85,71117.68,direct,
2024-06-06,71943.4,66054.78,71117.68,130364.53,9014849508.6,68247.0,direct,
2024-06-13,68428.43,64033.69,68247.0,138104.73,9112628207.0,64950.82,direct,
2024-06-20,66462.52,58443.98,64950.82,160243.91,9996818849.58,60824.43,direct,
2024-06-27,63800.98,59373.07,60824.43,142277.26,8761428550.55,60157.2,direct,
2024-07-04,60428.43,53528.09,60157.2,235967.58,13432652376.08,57725.78,direct,
2024-07-11,66131.67,56554.34,57725.78,201751.83,12401167313.68,64096.64,direct,
2024-07-18,68490.59,63235.08,64096.64,164105.31,10871299320.22,65375.53,direct,
2024-07-25,70027.05,63429.11,65375.53,174648.35,11678260347.2,64617.83,direct,
2024-08-01,65590.04,49202.81,64617.83,333358.55,19154281362.39,55130.45,direct,
2024-08-08,62717.23,54751.57,55130.45,204411.09,12207628349.19,58698.05,direct,
2024-08-15,61851.26,56132.98,58698.05,181410.57,10746610846.44,61170.8,direct,
2024-08-22,65058.66,57868.47,61170.8,203307.28,12553475920.11,59043.5,direct,
