time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-11-04,4865.94,4330.7,4604.4,1920850.25,8894405014.1,4632.98,direct,
2021-11-11,4807.7,4072.31,4632.98,2087762.27,9333508798.33,4289.75,direct,
2021-11-18,4438.77,3960.96,4289.75,2188141.4,9189450625.44,4271.96,direct,
2021-11-25,4781.93,3924.75,4271.96,2578855.2,11300614429.75,4587.74,direct,
2021-12-02,4659.62,3692.26,4587.74,3269590.31,13753906718.91,4439.98,direct,
2021-12-09,4489.81,3651.32,4439.98,2935830.94,11660818553.81,4020.19,direct,
2021-12-16,4113.2,3701.56,4020.19,1868366.37,7362810260.31,3981.26,direct,
2021-12-23,4155.17,3604.6,3981.26,1510912.7,5980724038.1,3629.31,direct,
2021-12-30,3891.61,3424.77,3629.31,1701203.87,6345008684.93,3536.77,direct,
2022-01-06,3549.26,2929.63,3536.77,2772666.62,8885111134.62,3373.03,direct,
2022-01-13,3412.61,3048.26,3373.03,1559595.78,5041089279.52,3084.78,direct,
2022-01-20,3272.69,2160.66,3084.78,4950452.0,12609552181.77,2464.13,direct,
2022-01-27,2814.09,2316.47,2464.13,2515825.23,6481319009.47,2681.11,direct,
2022-02-03,3273.04,2575.55,2681.11,2238959.67,6662520284.53,3246.72,direct,
2022-02-10,3283.28,2832.37,3246.72,2119392.34,6436999286.96,3124.33,direct,
2022-02-17,3161.66,2502.79,3124.33,2566937.78,7033910795.46,2580.97,direct,
2022-02-24,3035.58,2302.3,2580.97,3318266.24,8963478283.72,2949.03,direct,
2022-03-03,2971.29,2450.51,2949.03,1952022.63,5204342842.23,2733.05,direct,
2022-03-10,2787.84,2498.79,2733.05,1729611.99,4513030233.67,2775.15,direct,
2022-03-17,3049.24,2750.42,2775.15,2001219.13,5831040784.06,3037.3,direct,
2022-03-24,3481.81,3004.26,3037.3,1905820.2,6184076117.49,3385.11,direct,
2022-03-31,3580.76,3162.57,3385.11,2026682.01,6878636812.76,3168.91,direct,
2022-04-07,3313.28,2950.95,3168.91,1646126.52,5147324356.06,3118.5,direct,
2022-04-14,3167.34,2883.58,3118.5,1194231.9,3630977311.16,3077.74,direct,
2022-04-21,3179.21,2768.64,3077.74,1631403.58,4794984000.28,2889.72,direct,
2022-04-28,2979.81,2717.45,2889.72,1676616.09,4774035204.57,2940.31,direct,
2022-05-05,2953.25,2003.31,2940.31,3868670.39,9307877963.42,2077.83,direct,
2022-05-12,2180.84,1713.99,2077.83,3378435.79,6729729054.95,1911.68,direct,
2022-05-19,2086.6,1900.91,1911.68,1778007.46,3532162097.87,1941.04,direct,
2022-05-26,2015.05,1706.95,1941.04,2990880.81,5537093689.69,1817.42,direct,
2022-06-02,1918.1,1725.54,1817.42,1903425.73,3439634235.44,1791.03,direct,
2022-06-09,1831.74,1014.07,1791.03,6298219.58,8219130952.84,1236.89,direct,
2022-06-16,1255.9,883.48,1236.89,4684100.31,5003921218.49,1048.3,direct,
2022-06-23,1279.04,1044.07,1048.3,2900574.44,3404201504.92,1098.71,direct,
2022-06-30,1202.1,999.01,1098.71,2986863.29,3246817059.19,1185.41,direct,
2022-07-07,1274.65,1009.82,1185.41,3077043.01,3509806392.78,1114.57,direct,
2022-07-14,1625.03,1072.08,1114.57,4793885.2,6680855384.67,1521.72,direct,
2022-07-21,1663.54,1357.04,1521.72,3398958.42,5180045627.93,1636.88,direct,
2022-07-28,1787.55,1561.58,1636.88,3235681.49,5417001720.28,1618.68,direct,
2022-08-04,1885.46,1580.86,1618.68,3613319.25,6210154018.75,1854.05,direct,
2022-08-11,2030.19,1817.73,1854.05,3766653.51,7198515332.63,1834.04,direct,
2022-08-18,1882.41,1524.51,1834.04,4790705.94,7936034457.39,1656.52,direct,
2022-08-25,1722.01,1422.09,1656.52,4563260.88,7114333172.84,1554.16,direct,
2022-09-01,1686.59,1490.73,1554.16,2960154.98,4694841540.63,1630.0,direct,
2022-09-08,1789.58,1555.15,1630.0,3241251.57,5422559436.85,1639.6,direct,
2022-09-15,1654.2,1220.78,1639.6,5295814.93,7371539366.13,1246.29,direct,
2022-09-22,1400.42,1237.45,1246.29,7664507.04,10065421178.19,1337.15,direct,
2022-09-29,1372.44,1265.42,1337.15,5064412.52,6726753452.82,1352.44,direct,
2022-10-06,1384.03,1268.05,1352.44,3756942.7,4972293550.5,1294.29,direct,
2022-10-13,1343.39,1199.77,1294.29,4684336.19,6062364862.45,1284.85,direct,
2022-10-20,1595.06,1254.6,1284.85,6089377.05,8598898211.65,1566.85,direct,
2022-10-27,1663.64,1484.12,1566.85,7026396.34,11028494051.98,1518.33,direct,
2022-11-03,1671.48,1081.28,1518.33,9314997.06,13271055883.76,1104.17,direct,
2022-11-10,1347.76,1090.05,1104.17,5116755.69,6361187338.64,1215.24,direct,
2022-11-17,1231.6,1074.4,1215.24,3723005.14,4297935927.67,1183.69,direct,
2022-11-24,1309.06,1150.42,1183.69,2909503.74,3533917188.91,1294.92,direct,
2022-12-01,1307.27,1217.1,1294.92,2671343.58,3386413560.54,1231.35,direct,
